2015,2015_CFB_T1,2015_CFB_T2,2015_CFB_T3,2015_CFB_T4,2015_CFB_T5,2015_DBS_T1,2015_DBS_T2,2015_DBS_T3,2015_DBS_T4,2015_DBS_T5,2015_HBH_T1,2015_HBH_T2,2015_HBH_T3,2015_HBH_T4,2015_HBH_T5,2015_HW_T1,2015_HW_T2,2015_HW_T3,2015_HW_T4,2015_HW_T5,2015_JLS_T1,2015_JLS_T2,2015_JLS_T3,2015_JLS_T4,2015_JLS_T5,2015_LDS_T1,2015_LDS_T2,2015_LDS_T3,2015_LDS_T4,2015_LDS_T5,2015_LK_T1,2015_LK_T2,2015_LK_T3,2015_LK_T4,2015_LK_T5,2015_OUT_T1,2015_OUT_T2,2015_OUT_T3,2015_OUT_T4,2015_OUT_T5,2015_TS_T1,2015_TS_T2,2015_TS_T3,2015_TS_T4,2015_TS_T5,2015_WLT_T1,2015_WLT_T2,2015_WLT_T3,2015_WLT_T4,2015_WLT_T5
11,6.19436327534512,6.13304987617571,4.77510740892439,5.74529437242839,4.82976315228647,6.3489336230014,4.91088264038831,3.82481007976659,4.89915638674555,4.77165817880806,4.4359069177854,6.04935630819593,6.10361473274544,5.92166014242162,6.29739470309804,6.6478380775434,5.51954844354687,6.52054060620012,6.75059023324684,7.29038601116752,3.36577486332779,7.2747685145456,7.00168992959237,4.23113406648183,7.11010654383156,3.54136616187577,4.80929705558447,5.92169896447834,3.92614859029963,3.18351387969196,5.85659234865183,3.6198543429422,5.23281639419554,5.96033951130463,5.48880624623335,4.44227022915546,5.06018472950738,4.82317528707012,5.17406841436604,5.26946831106126,5.33278872475856,5.03019251552882,6.29205053448918,5.81932671707379,5.06725933299987,5.54978022975778,4.91885166708695,4.91885166708695,3.84441033506626,3.65023119482044
12,6.07302831366892,6.22397654746368,5.04798848405662,5.72710899890221,4.90856677113408,6.39136645767269,4.87451137690151,3.95837078206539,4.99614639668901,4.69285371286081,4.41165936758455,6.06754182571765,6.19464165447023,5.85488048161542,6.46116347870136,6.60540559588558,5.458930276017,6.67824636110002,6.86586338332741,7.21764483683548,3.48711219751191,6.86872795404677,6.92894841106265,4.55291001731928,7.13435369810114,3.71129857346943,4.71826943884139,5.90957526710536,3.84734377680967,3.18351387969196,5.81415934648717,3.57135895304867,5.2813113907278,5.78454567700504,5.44031129882578,4.43620833756121,5.07230847558411,4.89601721198642,5.56232584138605,5.33008697233361,5.33885058185408,4.98775944815181,6.23749406804895,5.83790974247869,4.86711831395605,5.46481516405167,4.85813375833996,5.06443545026117,3.80803902598106,3.7595439371543
13,6.13374549020763,6.37552090991644,5.12689139286911,5.63618210705354,4.97524673263272,6.31862444999737,4.67427056199655,4.00080411196169,5.0022082707856,4.68679182960909,4.27213652294686,6.03723262895116,6.29769282598812,5.72142046926582,6.55209086736431,6.52660239234367,5.51954844354687,6.71461704726858,6.81736916947409,7.13874249558113,3.41427005547416,6.85660436154957,7.05624605153779,4.78932260039399,7.23124291294783,3.76585579150501,4.80929705558447,5.93382266113376,3.99899084364783,3.18967518503576,5.78385005384493,3.48649199310678,5.20250701553254,5.68745653595727,5.48880624623335,4.36942814287831,5.24214022019469,4.77468023947445,5.75640459160737,5.21481212568214,5.42987779142043,5.03019251552882,6.37085429369466,5.70415167174575,4.7760908543012,5.386011276286,4.90056673410456,5.33711906334019,3.94766109260648,3.84441033506626
14,6.21215111380899,6.54525046275839,5.13295320198664,5.62405851842408,5.04192667242463,6.35499545706403,4.83814010695643,4.17073609441463,5.14789194511134,4.63819738197666,4.14463799990591,5.84315428892914,6.24919816349654,5.6789875208363,6.52784356766739,6.49619408627548,5.7500960643923,6.73886416779325,6.93860468258119,7.04175418559774,3.42639385171671,7.17777994673025,7.03806067917045,5.17738049431702,7.39491105178102,3.70523665945735,4.70008378567012,5.92776081289575,3.9686813143647,3.20786097230838,5.79597377144,3.58348280159848,5.1115788526342,5.80879311139527,5.43424942959256,4.36336624912833,5.39984809802219,4.64121942421116,5.95654500472355,5.39070561566652,5.24792270658492,4.99382131545814,6.30417419172484,5.64353320082439,4.99451693956379,5.33135534641094,4.9370372238146,5.28246312041919,4.10536931958931,4.23892931099495
15,6.36975725752659,6.52100339239152,5.24812754113509,5.60587313413445,5.09658234459052,6.27619160025739,4.63183737161741,4.28601151102789,4.96583702351508,4.65032115117696,3.8230591434399,5.77031275491773,6.29163099380454,5.54552739388435,6.5217817422947,6.47194693702547,6.32030281554312,6.81766728967629,7.19945953921635,7.03569241469902,3.371836762974,6.34741282872319,6.88651584665786,5.46844827589559,7.54645550817587,3.65058004960798,4.65755121347926,5.90957526710536,3.93837178059653,3.24423254200967,5.8384067773719,3.69865932703058,5.15401200034317,5.85122611467157,5.44637316787961,4.30880919730556,5.82457557851174,4.75649459366602,6.02898902859784,5.40889120516821,5.2903557200669,4.86642268941775,6.27992687653597,5.58887718707341,5.30387068270256,5.59827489473675,4.96734648143943,5.4098611320247,4.23892931099495,4.31773364007238
16,6.39400434579683,6.442200393877,5.30268378444398,5.67861466160586,5.18750947597176,6.19122650000032,4.29207340614053,4.15255039776567,4.93552764585624,4.59576418412455,4.03542447084313,5.84921613438467,6.30981648981712,5.60624530307781,6.53996721787463,6.38708189204767,6.39920547205429,6.93294040200934,7.34494187496488,7.05993949721761,3.2990939553788,6.67475038798637,6.83195967950738,5.65636515244974,7.51614662586602,3.82051237059409,4.67573687042671,5.87926602053355,3.96261940796987,3.2199848295931,5.77172633553229,3.74725406250972,5.16613575521689,5.82091682751403,5.51305371563168,4.32699488286108,6.20667055891789,4.68971450340433,5.95018503432601,5.45748547739077,5.4056303727374,4.98169758066608,6.25567955847686,5.63140950448741,5.32205625601833,5.61049793348339,4.87025746659825,5.39167561727539,4.16608745147857,4.69426487713876
17,6.33338661973961,6.4603857039173,5.26025115201503,5.7089236237615,5.08435935008129,6.17304098273487,4.18892178944898,4.41341064598877,5.0082701447028,4.69891559593314,4.50874892633019,5.83709244329421,6.10967657049305,5.78820017358191,6.43691616824115,6.38708189204767,6.39314368214067,6.93900217594878,7.43596765543906,7.11449542239049,3.38396056172821,6.34135101713701,6.76527989992434,5.91702376032204,7.61313503347194,3.99044455059907,4.72433132287302,5.84289491872746,3.98686703247279,3.09248554043556,5.66261283842788,3.71088254378849,4.9963037465654,5.63896163558019,5.49486811385202,4.19353377590143,6.58886420081373,4.68365261913308,5.90169025355141,5.46354733876111,5.34491243877021,4.921078895942,6.33448333167468,5.51613497887824,5.38873667769612,5.79851401482557,4.91278981448561,5.40379929395432,4.45129349300512,5.49482622052566
18,6.38188080202048,6.26640898025186,5.4057344266039,5.73317079025699,5.00555579886541,6.2154738538428,4.95947702332897,4.41341064598877,4.88087137972578,4.76559629788851,4.46025384030394,5.83709244329421,6.18857981923702,5.84275679086022,6.32770386136924,6.49052979346991,6.46588514926451,6.81736916947409,7.67853725064712,7.11449542239049,3.43245574956888,6.38984550480362,6.87439225521345,6.09887840659076,7.77064172462075,3.80838854885491,4.83960646047913,5.76399146801719,3.89583905023769,3.24423254200967,5.58987047473422,3.57742087741328,5.08126945603164,5.65714722456704,5.40384070581389,4.20565757327426,6.62523516545674,4.79892776470746,5.75004461499568,5.28765391132661,5.2903557200669,4.98775944815181,6.34054515912648,5.52219683054784,5.21890527778454,5.72567270992159,4.95522277892769,5.62222410005074,4.87602119650217,5.37994943750981
19,6.36975725752659,6.33915027315286,5.35117821074207,5.65436748865231,5.08435935008129,6.08807583969178,4.63789925649548,4.21923127758489,4.85056198949447,4.45017949235816,4.29638408966423,5.92802010898199,6.22495082794541,5.86094232672393,6.25486249966664,6.35061177409529,6.36889652069234,6.95718749669078,7.6845990025225,7.08418657686607,3.38396056172821,6.31104195651525,6.95319558677605,6.24436200736119,7.7585181855033,3.64451813379892,4.8153589369222,5.69124921701022,3.91402477481306,3.06823781005486,5.62017979607929,3.71694446402387,5.08087195571853,5.65108536175082,5.38565509433813,4.24202896108716,6.46146639941576,4.58656307119434,5.78035387676391,5.24482334200482,5.38138295118407,5.03625438157939,6.32842150404349,5.51613497887824,5.10363052003055,5.73789574106608,4.99159388431017,5.89520509305463,4.92451602099492,5.41592296991569
20,6.4244125753904,6.33308849973107,5.07829753952566,5.60587313413445,5.10870596444014,6.14273178370465,4.43159631947749,4.40734875446706,4.83843823214617,4.23175257301388,4.16898495704581,6.00086158691149,6.17645614823244,5.95803119852436,6.20636782703515,6.28999385250626,6.2778702660358,6.91435758570009,7.54507929095781,7.04175418559774,3.3960843597648,6.28679470478885,6.84408327346319,6.47471083059444,7.92218590304794,3.56561383624678,4.86991586088886,5.82431186695126,3.950495594642,2.85577191861938,5.46863314450557,4.02620153373039,5.05096005494417,5.48135313006288,5.54336304834324,4.27233844599773,6.52814653779909,4.66546696524293,5.99867980361957,5.24482334200482,5.35703615206427,5.10909613500977,6.27992687653597,5.71021351785122,5.20071969531082,5.62262159721075,5.02200250844352,5.98016998023668,4.77287028163124,5.50734738848307
