T1,T2,T3,T4,T5,T6,T7,T8,T9
3.28959907347763,3.22159335152415,3.40345283688928,3.17039747500059,3.26132721768316,3.4431867030483,3.24986520731862,3.34079495000118,3.52265443536632
3.07321604213825,3.08732804294424,3.11555204455621,3.13232008347052,3.14643208427651,3.17465608588848,3.25052816613506,3.26464016694104,3.29286416855302
3.00220341893094,2.92652316940014,2.77516267033856,3.08008708739267,3.00440683786187,2.85304633880029,3.23585442431613,3.16017417478533,3.00881367572375
2.99999268025453,2.90410025278821,2.71231539785559,3.09587778797537,2.99998536050905,2.80820050557643,3.28764800341705,3.19175557595073,2.99997072101811
3.08498694485911,3.05704539503922,3.00116229539944,3.19791543953812,3.16997388971823,3.11409079007844,3.42377242889614,3.39583087907624,3.33994777943646
3.19454219731942,3.2602408571913,3.39163817693505,3.32338573476696,3.38908439463883,3.52048171438259,3.58107280966203,3.64677146953391,3.77816878927767
3.24240704284224,3.34134286750458,3.53921451682926,3.38587826102215,3.48481408568449,3.68268573500916,3.67282069738196,3.77175652204429,3.96962817136897
3.19787723044967,3.23908907897385,3.3215127760222,3.35454261237517,3.39575446089934,3.4781781579477,3.66787337622616,3.70908522475034,3.79150892179869
3.11389208587264,3.05948997478371,2.95068575260583,3.28218628283422,3.22778417174528,3.11897994956741,3.61877467675738,3.56437256566844,3.45556834349057
3.07824245135722,2.97824343070215,2.77824538939201,3.2564839233695,3.15648490271443,2.95648686140429,3.61296686739408,3.51296784673901,3.31296980542887
3.1327505253934,3.07909323359336,2.97177864999327,3.31915834258685,3.2655010507868,3.15818646718672,3.69197397697374,3.63831668517369,3.53100210157361
3.2347283407661,3.27674504444877,3.36077845181409,3.42743997784954,3.46945668153221,3.55349008889753,3.81286325201642,3.85487995569908,3.93891336306441
3.29615068156718,3.39521141713667,3.59333288827564,3.49324062756487,3.59230136313436,3.79042283427333,3.88742051956026,3.98648125512974,4.18460272626872
3.26452778133652,3.32955656535223,3.45961413338366,3.46402677865733,3.52905556267305,3.65911313070447,3.86302477329896,3.92805355731467,4.05811112534609
3.17112438894179,3.14233405727529,3.08475339394227,3.3710391095501,3.34224877788359,3.28466811455058,3.7708685507667,3.74207821910019,3.68449755576718
3.10219321290254,3.00605346371458,2.81377396533867,3.30052617499303,3.20438642580508,3.01210692742916,3.69719209917402,3.60105234998606,3.40877285161015
3.11967080149847,3.0445720768213,2.89437462746697,3.31444032767411,3.23934160299694,3.08914415364261,3.70397938002539,3.62888065534822,3.47868320599389
3.20424773850378,3.21923545947007,3.24921090140266,3.39350775604126,3.40849547700756,3.43847091894015,3.77202779111623,3.78701551208252,3.81699095401511
